period,avg_price_raw,avg_price,cost_price,discount,rank_period,iteration,cost_infl,infl,price_group,product_group,uc_perc,cost_growth,uc_perc_delta_relate_first_period,cost_mix,avg_price_raw_base,discount_base,cost_price_base,mix,impact_infl,impact_cost_infl,impact_discount,impact_mix,period_start,period_end
last-8,301.7289116635423,255.64488037623684,87.61225246687097,-0.15273323008135778,1,total,0.0,0.0,total,total,0.34271076478406515,0.0,0.0,0.0,301.7289116635423,-0.15273323008135778,87.61225246687097,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,148.77752387288524,123.36472687554651,48.38835013022878,-0.170810726888097,1,total_by_cat,0.0,0.0,total,coffee,0.3922381328582212,0.0,0.0,0.0,148.77752387288524,-0.170810726888097,48.38835013022878,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,450.57111938064077,364.0474681126498,118.37662321445995,-0.19203106356867067,1,total_by_cat,0.0,0.0,total,combo_delivery,0.32516809917169875,0.0,0.0,0.0,450.57111938064077,-0.19203106356867067,118.37662321445995,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,234.37339367580387,190.70186080804683,71.27235689815858,-0.1863331506312766,1,total_by_cat,0.0,0.0,total,combo_restaurant,0.37373708151646506,0.0,0.0,0.0,234.37339367580387,-0.1863331506312766,71.27235689815858,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,122.19738108431275,107.97207319542626,50.50372997552308,-0.11641254307300934,1,total_by_cat,0.0,0.0,total,drinks,0.46774808041439403,0.0,0.0,0.0,122.19738108431275,-0.11641254307300934,50.50372997552308,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,70.75282566691202,61.33437634464922,23.51786880412569,-0.13311764206567073,1,total_by_cat,0.0,0.0,total,other,0.38343699252723185,0.0,0.0,0.0,70.75282566691202,-0.13311764206567073,23.51786880412569,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,708.328678839189,615.9888509891988,180.63743016259306,-0.13036296652751225,1,total_by_cat,0.0,0.0,total,pizza,0.2932478889390816,0.0,0.0,0.0,708.328678839189,-0.13036296652751225,180.63743016259306,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,253.06872574946934,213.91274091961012,92.99119703457716,-0.1547247085308459,1,total_by_cat,0.0,0.0,total,zakuski,0.43471556034861847,0.0,0.0,0.0,253.06872574946934,-0.1547247085308459,92.99119703457716,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,195.1032258064516,163.08471502927682,53.15289501990041,-0.16411061705836752,1,total_by_cat_and_groups,0.0,0.0,a. Группа -1.5,coffee,0.32592199097480384,0.0,0.0,0.0,195.1032258064516,-0.16411061705836752,53.15289501990041,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,175.9090909090909,140.853384893158,56.938966798795526,-0.199283083294709,1,total_by_cat_and_groups,0.0,0.0,b. Группа -1,coffee,0.40424280071072227,0.0,0.0,0.0,175.9090909090909,-0.199283083294709,56.938966798795526,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,164.1610278372591,138.83834260506853,54.84774316138323,-0.15425515766929881,1,total_by_cat_and_groups,0.0,0.0,c. Группа -0.5,coffee,0.39504752168786633,0.0,0.0,0.0,164.1610278372591,-0.15425515766929881,54.84774316138323,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,161.24066199287438,133.5284392446337,54.18395152024573,-0.17186869866278126,1,total_by_cat_and_groups,0.0,0.0,d. Группа 0,coffee,0.4057858522631036,0.0,0.0,0.0,161.24066199287438,-0.17186869866278126,54.18395152024573,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,156.7870202933494,132.05580269331693,51.80613622422052,-0.15773765936593612,1,total_by_cat_and_groups,0.0,0.0,e. Группа 0.5,coffee,0.3923048829935462,0.0,0.0,0.0,156.7870202933494,-0.15773765936593612,51.80613622422052,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,152.07766574309463,124.6577868503962,49.56541487987361,-0.18030181327887382,1,total_by_cat_and_groups,0.0,0.0,f. Группа 1,coffee,0.3976118631029271,0.0,0.0,0.0,152.07766574309463,-0.18030181327887382,49.56541487987361,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,153.3884892086331,117.68005760942431,54.21673643263124,-0.23279733559823743,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Братск,coffee,0.4607130344257185,0.0,0.0,0.0,153.3884892086331,-0.23279733559823743,54.21673643263124,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,154.68439407149086,125.75874454303558,50.388685058487326,-0.18699785264107915,1,total_by_cat_and_groups,0.0,0.0,ftest. Группа Екатеринбург,coffee,0.4006773862253686,0.0,0.0,0.0,154.68439407149086,-0.18699785264107915,50.388685058487326,-0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,-1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,143.19902629016553,118.06170398456197,49.1435630035029,-0.17554115385301267,1,total_by_cat_and_groups,0.0,0.0,g. Группа 1.5,coffee,0.41625320781350933,0.0,0.0,0.0,143.19902629016553,-0.17554115385301267,49.1435630035029,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,147.13152585119798,121.2164873902168,49.469291090995334,-0.17613518456398292,1,total_by_cat_and_groups,0.0,0.0,h. Группа 1.75,coffee,0.40810695109275974,0.0,0.0,0.0,147.13152585119798,-0.17613518456398292,49.469291090995334,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,146.10494818274705,119.94053481096961,49.94700623329774,-0.1790795842112833,1,total_by_cat_and_groups,0.0,0.0,i. Группа 2,coffee,0.4164314117159469,0.0,0.0,0.0,146.10494818274705,-0.1790795842112833,49.94700623329774,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,147.8861544617847,119.11121247042449,45.90059762804353,-0.19457495595908514,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Казань,coffee,0.38535916708463297,0.0,0.0,0.0,147.8861544617847,-0.19457495595908514,45.90059762804353,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,143.32560483870967,124.37065524349529,46.86601602454339,-0.13225096532155003,1,total_by_cat_and_groups,0.0,0.0,itest. Группа Ставрополь,coffee,0.3768253526749392,0.0,0.0,0.0,143.32560483870967,-0.13225096532155003,46.86601602454339,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,142.78250818724715,118.15768493543176,46.13750999719278,-0.17246386524826995,1,total_by_cat_and_groups,0.0,0.0,j. Группа 2.5,coffee,0.3904740518774128,0.0,0.0,0.0,142.78250818724715,-0.17246386524826995,46.13750999719278,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,139.49074074074073,120.23633097850337,44.99525909512131,-0.1380336046678815,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Нижний Новгород,coffee,0.3742234874346412,0.0,0.0,0.0,139.49074074074073,-0.1380336046678815,44.99525909512131,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,144.88416627744044,116.7693974832225,47.835857619419656,-0.19404997465617208,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Орел Иваново Кинешма Кострома,coffee,0.4096609098825978,0.0,0.0,0.0,144.88416627744044,-0.19404997465617208,47.835857619419656,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,144.4203431372549,119.22059436759675,46.18653867875828,-0.17448891355775759,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Пенза,coffee,0.3874040296792165,0.0,0.0,0.0,144.4203431372549,-0.17448891355775759,46.18653867875828,0.0,-1.1102230246251565e-16,0.0,-1.1102230246251565e-16,2.220446049250313e-16,2025-01-26,2025-02-01
last-8,143.95945419103313,118.72471344444254,49.00758221721092,-0.17529061143219032,1,total_by_cat_and_groups,0.0,0.0,jtest. Группа Саратов Энгельс,coffee,0.41278332703783793,0.0,0.0,0.0,143.95945419103313,-0.17529061143219032,49.00758221721092,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,137.93181382876844,112.94056500959125,48.93322329200609,-0.18118553019393968,1,total_by_cat_and_groups,0.0,0.0,k. Группа 2.75,coffee,0.43326526025304135,0.0,0.0,0.0,137.93181382876844,-0.18118553019393968,48.93322329200609,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,136.1169700528479,115.32873395733618,48.67109921915141,-0.15272332382538797,1,total_by_cat_and_groups,0.0,0.0,l. Группа 3,coffee,0.4220205802064594,0.0,0.0,0.0,136.1169700528479,-0.15272332382538797,48.67109921915141,0.0,-5.551115123125783e-17,0.0,-5.551115123125783e-17,1.1102230246251565e-16,2025-01-26,2025-02-01
last-8,138.98194525334887,119.05380312953498,51.6178533779582,-0.14338655346553875,1,total_by_cat_and_groups,0.0,0.0,m. Группа 3.5,coffee,0.43356744615538273,0.0,0.0,0.0,138.98194525334887,-0.14338655346553875,51.6178533779582,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
last-8,124.33630952380952,104.3271056151328,47.56387204499472,-0.16092808275643009,1,total_by_cat_and_groups,0.0,0.0,n. Группа 4,coffee,0.45591097121451735,0.0,0.0,0.0,124.33630952380952,-0.16092808275643009,47.56387204499472,0.0,0.0,0.0,0.0,0.0,2025-01-26,2025-02-01
